StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q1;Q2;Q3;Q29;Q30;Q31;Q32;Q33;Q34;Q35;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;SC0;FillerScore;Q_StraightliningCount;Q_StraightliningPercentage;Q_StraightliningQuestions
2023-06-23 02:49:12;2023-06-23 02:54:25;IP Address;100;313;TRUE;2023-06-23 02:54:27;R_3R2TNb6HH7a8fSH;;;;;anonymous;RU;1;В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:50:55;2023-06-23 02:55:02;IP Address;100;246;TRUE;2023-06-23 02:55:06;R_YPjKcMbaeFETgFH;;;;;anonymous;RU;1;В музее хранились фотографии,В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Водитель видел ограбление;Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;5.5;5.5;0;0;
2023-06-23 02:50:19;2023-06-23 02:55:10;IP Address;100;290;TRUE;2023-06-23 02:55:11;R_bEFriTxF6vH3pmh;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:48:44;2023-06-23 02:55:27;IP Address;100;402;TRUE;2023-06-23 02:55:27;R_3qPdYy9h0bXMhc1;;;;;anonymous;RU;1;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;6.5;6.5;0;0;
2023-06-23 02:50:09;2023-06-23 02:56:25;IP Address;100;375;TRUE;2023-06-23 02:56:26;R_2TGmEBmfTuz3H7R;;;;;anonymous;RU;1;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;6.0;6;0;0;
2023-06-23 02:49:44;2023-06-23 02:57:16;IP Address;100;451;TRUE;2023-06-23 02:57:16;R_3OeMIGI7IqN0Xym;;;;;anonymous;RU;1;В музее хранились находки;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены;У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:48:41;2023-06-23 02:58:18;IP Address;100;576;TRUE;2023-06-23 02:58:19;R_Xzgb84qcjlK7mP7;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии,В музее хранились находки;"Повести были выдвинуты на премию ""Букер"",Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники,Гранты получили институты;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;он не верит ни в какие революции,он верит только в некоторые революции;вы вообще не понимаете важности нашего предложения,вы понимаете важность нашего предложения только частично;я готов решать только часть этого,я хочу не решать это всё, а делать что-то другое;я успею прочесть только часть;я вообще нисколько не спала в дороге,я спала только часть времени в дороге;он вообще не работал в течение дня;Марья Гавриловна вообще не спала ночью;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;мы знаем только часть всей последовательности построения;он может запомнить только часть деталей;шахматист перебирает только часть возможных ходов,шахматист во время партии не перебирает ходы, а делает что-то другое;маршрутки могут удовлетворить не всех пассажиров, а только часть;я рассказала только часть правды, а часть скрыла;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;Я собираюсь играть на гитаре только некоторое время,Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;Я могу мести асфальт только некоторое время,Сейчас я мету асфальт, но в будущем хочу заниматься какими-то другими вещами;Я могу уходить с работы не всегда,Сейчас я часто ухожу с работы, но так продолжаться не может;Мое желание — работать часть жизни,Кто-то считает, что правильно работать всю жизнь, а я хочу делать что-то другое;Я готов извиняться время от времени, но не постоянно,Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;Новый способ должен перебирать только часть возможностей,Существующие сейчас способы перебирают возможности, а новый должен использовать другие стратегии;Я готов описать только некоторые детали;10.0;10;0;0;
2023-06-23 02:48:46;2023-06-23 02:58:51;IP Address;100;604;TRUE;2023-06-23 02:58:52;R_2SpFXFvz11XRhhp;;;;;anonymous;RU;1;В музее хранились фотографии;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 02:47:31;2023-06-23 03:01:11;IP Address;100;820;TRUE;2023-06-23 03:01:12;R_2V1QEV4mqsiLm4X;;;;;anonymous;RU;0.800000011920929;В музее хранились фотографии,В музее хранились находки;"Повести были выдвинуты на премию ""Букер"",Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники,Гранты получили институты;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;он не верит ни в какие революции;вы понимаете важность нашего предложения только частично;я не хочу решать ничего из этого;я успею прочесть только часть;я вообще нисколько не спала в дороге;он работал только часть дня;Марья Гавриловна вообще не спала ночью;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;мы знаем только часть всей последовательности построения;он может запомнить только часть деталей;шахматист перебирает только часть возможных ходов;маршрутки могут удовлетворить не всех пассажиров, а только часть;я рассказала только часть правды, а часть скрыла;Я собираюсь сидеть на шее у тетки только часть жизни,Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;Я могу мести асфальт только некоторое время,Сейчас я мету асфальт, но в будущем хочу заниматься какими-то другими вещами;Я могу уходить с работы не всегда,Сейчас я часто ухожу с работы, но так продолжаться не может;Кто-то считает, что правильно работать всю жизнь, а я хочу делать что-то другое;Кто-то ожидает, что я буду всё время извиняться, но я этого не хочу;Существующие сейчас способы перебирают возможности, а новый должен использовать другие стратегии;Я готов описать только некоторые детали,Адресат хочет, чтобы я описал все детали, а я хочу поступить по-другому;10.0;10;0;0;
2023-06-23 02:49:15;2023-06-23 03:05:08;IP Address;100;952;TRUE;2023-06-23 03:05:09;R_2fBs80yDZ7DknI3;;;;;anonymous;RU;1;В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:04:53;2023-06-23 04:08:33;IP Address;100;219;TRUE;2023-06-23 04:08:33;R_2sZ1b1Gq9qpKhA7;;;;;anonymous;RU;1;В музее хранились фотографии;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7;0;0;
2023-06-23 04:07:44;2023-06-23 04:10:16;IP Address;100;152;TRUE;2023-06-23 04:10:17;R_3M4NeyrDeMo2cp9;;;;;anonymous;RU;1;В музее хранились находки;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Служанка жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:06:00;2023-06-23 04:10:22;IP Address;100;262;TRUE;2023-06-23 04:10:23;R_1ooHwwBriaZcAfj;;;;;anonymous;RU;0.8999999761581421;В музее хранились находки;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.0;7;0;0;
2023-06-23 04:09:00;2023-06-23 04:10:30;IP Address;100;90;TRUE;2023-06-23 04:10:30;R_1IZxf1qV0NN0HMR;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии,В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал ручку,Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.5;7.5;0;0;
2023-06-23 04:06:00;2023-06-23 04:12:21;IP Address;100;380;TRUE;2023-06-23 04:12:21;R_3rZfvZoZYnPOsT8;;;;;anonymous;RU;1;В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили институты;Напарник видел ограбление;Графиня жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:03:20;2023-06-23 04:13:20;IP Address;100;600;TRUE;2023-06-23 04:13:21;R_3RyeNjy8JQtvRQm;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии,В музее хранились находки;"Повести были выдвинуты на премию ""Букер"",Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники,Гранты получили институты;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У исполнительницы был высокий рейтинг,У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал ручку;он не верит ни в какие революции;вы понимаете важность нашего предложения только частично;я не хочу решать ничего из этого;я успею прочесть только часть;я вообще нисколько не спала в дороге;он вообще не работал в течение дня;Марья Гавриловна вообще не спала ночью;больной вообще не ел в течение дня;большие панорамы умещают лишь часть разнообразия жизни;я приведу только часть цифр, а не все;в этой игре воспроизводится только часть ощущений;мы знаем только часть всей последовательности построения;он может запомнить только часть деталей;шахматист перебирает только часть возможных ходов;маршрутки могут удовлетворить не всех пассажиров, а только часть;я рассказала только часть правды, а часть скрыла;Сейчас я сижу на шее у тетки, но в будущем хотел бы устроить свою жизнь по-другому;Сейчас я много играю на гитаре, но в будущем хочу делать что-то ещё;Я могу мести асфальт только некоторое время;Сейчас я часто ухожу с работы, но так продолжаться не может;Мое желание — вообще не работать;Я готов извиняться время от времени, но не постоянно;Новый способ должен перебирать только часть возможностей;Я готов описать только некоторые детали;9.5;9.5;0;0;
2023-06-23 04:11:37;2023-06-23 04:14:35;IP Address;100;177;TRUE;2023-06-23 04:14:35;R_2ZVWLV3tNd2sC8y;;;;;anonymous;RU;0.699999988079071;В музее хранились находки;"Повести были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;6.0;6;0;0;
2023-06-23 04:12:37;2023-06-23 04:15:15;IP Address;100;157;TRUE;2023-06-23 04:15:15;R_cUAJFWNHNU79Tbj;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии,В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер"",Директор выступила против получения писательницами премии ""Букер""";Гранты получили институты,Гранты давали на конкурсе;Напарник видел ограбление,Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Вор проработал два дня;Мастер украшал ручку,Мастер изуродовал дверь;;;;;;;;;;;;;;;;;;;;;;;;;3.0;3;0;0;
2023-06-23 04:12:42;2023-06-23 04:15:32;IP Address;100;169;TRUE;2023-06-23 04:15:32;R_2fcADORRXmhGC6R;;;;;anonymous;RU;0.4000000059604645;В музее хранились фотографии;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Водитель видел ограбление;Служанка жила неподалеку;У исполнительницы был высокий рейтинг;У подвала были толстые стены;У спутника было хмурое лицо;Работник проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:10:39;2023-06-23 04:16:37;IP Address;100;357;TRUE;2023-06-23 04:16:37;R_12eRNBIEYoUHwOc;;;;;anonymous;RU;1;В музее хранились фотографии;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники;Напарник видел ограбление;Графиня жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У спутника было хмурое лицо;Сварочный аппарат проработал два дня;Мастер украшал ручку;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:16:15;2023-06-23 04:18:51;IP Address;100;155;TRUE;2023-06-23 04:18:51;R_xrOOHbe68jfRKbT;;;;;anonymous;RU;0.8999999761581421;В музее хранились фотографии;"Повести были выдвинуты на премию ""Букер""";Гранты получили институты;Водитель видел ограбление;Графиня жила неподалеку;У песни был высокий рейтинг;У монастыря были толстые стены;У мужчины было хмурое лицо;Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5;0;0;
2023-06-23 04:15:56;2023-06-23 04:20:08;IP Address;100;251;TRUE;2023-06-23 04:20:09;R_3Ldy0nN2OQRqFWA;;;;;anonymous;RU;0.8999999761581421;В музее хранились находки;"Писательницы были выдвинуты на премию ""Букер""";Гранты получили сотрудники,Гранты получили институты;Водитель видел ограбление;Графиня жила неподалеку,Служанка жила неподалеку;У песни был высокий рейтинг;У подвала были толстые стены,У монастыря были толстые стены;У спутника было хмурое лицо,У мужчины было хмурое лицо;Сварочный аппарат проработал два дня,Работник проработал два дня;Мастер украшал дверь;;;;;;;;;;;;;;;;;;;;;;;;;7.5;7.5;0;0;
